entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
Display Technologies,1641,2021-06-30,2021,,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Image Surfaces,Image Surfaces,331.5,1,0
Display Technologies,1642,2021-07-02,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised Mount Solutions,Non Motorised Mount Solutions,1462.5,1,0
Display Technologies,1643,2021-07-02,2021,DT-DYN-2S-300,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,3978.0,1,0
Display Technologies,1643,2021-07-02,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,195.0,1,0
Display Technologies,1644,2021-07-02,2021,DT-FRNT-360,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1365.0,1,0
Display Technologies,1644,2021-07-02,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,292.5,1,0
Display Technologies,1645,2021-07-02,2021,DT-DYN-2TB-420,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,6201.0,1,0
Display Technologies,1645,2021-07-02,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,370.5,1,0
Display Technologies,1645,2021-07-02,2021,DT-PHG-2,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Port Hole Glass,Port Hole Glass,1170.0,1,0
Display Technologies,1645,2021-07-02,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised Mount Solutions,Non Motorised Mount Solutions,975.0,1,0
Display Technologies,1646,2021-07-02,2021,DT-DYN-2S-360,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,4875.0,1,1
Display Technologies,1646,2021-07-02,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Image Surfaces,Image Surfaces,409.5,1,1
Display Technologies,1647,2021-07-02,2021,DT-FRNT-330,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1228.5,1,0
Display Technologies,1647,2021-07-02,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,351.0,1,0
Display Technologies,INV-0436,2021-07-05,2021,,0,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,,,0.0,1,1
Display Technologies,INV-0436,2021-07-05,2021,DT-SHIP,4,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Shipping Out,Shipping Out,300.0,0,1
Display Technologies,1648,2021-07-05,2021,DT-DYN-2S-480,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,7332.0,1,0
