source_file,entity,entity_role,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,category,category_source,carried_brand,supply,net,is_product_revenue,is_intra_group,description,item_description
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0894,2012-03-14,2012,,1,James and Giles,James and Giles,Paid,Sales - LEAF,LEAF,Cables & distribution,brand-map,Leaf,carried,2200.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0895,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - IMAGE,IMAGE,Projection screens,brand-map,Image,carried,1306.5,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0895,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - IMAGE,IMAGE,Projection screens,brand-map,Image,carried,38.35,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0896,2012-03-15,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,1644.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0896,2012-03-15,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0896,2012-03-15,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,132.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0897,2012-03-23,2012,,3,Elegant Solutions International Limited,Elegant Solutions International Limited,Paid,Sales - OTHERS,OTHERS,Unclassified,unclassified,,unknown,300.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0898,2012-03-23,2012,,2,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - OTHERS,OTHERS,Unclassified,unclassified,,unknown,200.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0900,2012-03-23,2012,,3,thinkingbricks Limited,thinkingbricks Limited,Paid,Sales - OTHERS,OTHERS,Unclassified,unclassified,,unknown,300.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0901,2012-03-23,2012,,2,Clear AV Ltd,Clear AV Ltd,Paid,Sales - OTHERS,OTHERS,Unclassified,unclassified,,unknown,200.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0912,2012-03-29,2012,,1,PBI Audio Visual,PBI Audio Visual,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,375.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0913,2012-03-29,2012,,1,Tillman Domotics,Tillman Domotics,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0913,2012-03-29,2012,,1,Tillman Domotics,Tillman Domotics,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,132.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0913,2012-03-29,2012,,1,Tillman Domotics,Tillman Domotics,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,1380.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0914,2012-03-29,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - IMAGE,IMAGE,Projection screens,brand-map,Image,carried,38.35,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0914,2012-03-29,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - IMAGE,IMAGE,Projection screens,brand-map,Image,carried,25.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0915,2012-03-29,2012,,2,Genesis Technologies Benelux bvba,Genesis Technologies Benelux bvba,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0915,2012-03-29,2012,,2,Genesis Technologies Benelux bvba,Genesis Technologies Benelux bvba,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0915,2012-03-29,2012,,2,Genesis Technologies Benelux bvba,Genesis Technologies Benelux bvba,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0915,2012-03-29,2012,,1,Genesis Technologies Benelux bvba,Genesis Technologies Benelux bvba,Paid,Sales - WISDOM,WISDOM,Speakers,brand-map,Wisdom Audio,carried,10400.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0902,2012-03-29,2012,,1,Sceptre AV,Sceptre AV,Paid,Sales - IMAGE,IMAGE,Projection screens,brand-map,Image,carried,389.35,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0902,2012-03-29,2012,,1,Sceptre AV,Sceptre AV,Paid,Sales - IMAGE,IMAGE,Projection screens,brand-map,Image,carried,16168.75,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0902,2012-03-29,2012,,1,Sceptre AV,Sceptre AV,Paid,Sales - IMAGE,IMAGE,Projection screens,brand-map,Image,carried,357.5,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0903,2012-03-29,2012,,9,Stone Audio UK Ltd,Stone Audio UK Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,4500.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0903,2012-03-29,2012,,18,Stone Audio UK Ltd,Stone Audio UK Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,1350.0,1,0,,
